headline,firm,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,predicted_sentiment,labeled_keywords,average_predicted_sentiment
peopl make destroy place,AFH-Wealth-Management,1,3,1,1,2,2,0,destroy ##op place make ##l,bad
low salari,AFH-Wealth-Management,3,1,2,1,1,1,1,sala ##ri low,bad
good,AFH-Wealth-Management,3,3,4,4,4,2,3,good,good
terribl avoid like plagu,AFH-Wealth-Management,1,2,1,1,1,1,0,##rib ##l avoid like pla,bad
steer clear,AFH-Wealth-Management,1,1,1,1,1,1,4,clear ##er ste,good
mortgag advisor,AFH-Wealth-Management,5,5,5,5,4,5,3,##ga ##g advisor mort,good
nice offic,AJ-Bell,3,3,3,4,3,3,3,off ##ic nice,good
good job aw peopl,AJ-Bell,4,1,1,1,5,3,3,job pe ##op aw ##l,good
shini offic cannot hide rotten cultur,AJ-Bell,3,1,1,2,2,1,0,hide cult ##i rotten ##ic,bad
great place work,AJ-Bell,5,5,5,5,3,5,4,place work great,good
run,AJ-Bell,3,2,1,3,2,1,3,run,good
lot progress secur industri work home,AJ-Bell,4,5,4,5,3,4,3,home sec work industri progress,good
aj hell,AJ-Bell,4,2,2,2,2,1,4,hell aj,good
promot grow organis great colleagu,AJ-Bell,5,5,4,5,4,5,4,colle organi grow great ##t,good
con pro,AJ-Bell,1,1,4,1,3,1,4,pro con,good
aj hell,AJ-Bell,5,1,4,3,1,1,4,hell aj,good
good experi,AJ-Bell,3,4,5,4,3,3,3,ex ##peri good,good
good career decis,AJ-Bell,4,5,4,4,3,5,3,##is career dec good,good
aj hell thing know join,AJ-Bell,1,1,1,1,1,1,4,join hell thing know aj,good
work hard thank,AJ-Bell,1,1,1,1,5,1,3,thank hard work,good
dont bother senior manag clown,AJ-Bell,1,1,1,1,1,1,0,both mana senior ##g ##er,bad
realli great place work,AJ-Bell,5,5,5,4,4,5,4,##li work place great real,good
great place start build career,AJ-Bell,5,4,3,5,3,4,4,place career build start great,good
busi excit,AJ-Bell,4,4,3,4,4,4,0,##cit ex ##i bus,bad
great compani,AJ-Bell,4,5,5,4,4,5,4,comp ##ani great,good
homework compani,AJ-Bell,1,2,2,2,1,1,3,##work ##ani comp home,good
great support cultur,AJ-Bell,3,4,3,5,3,4,4,support ##ur cult great,good
ok starter job,AJ-Bell,4,4,5,2,1,3,3,starter job ok,good
averag place work,AJ-Bell,1,3,3,2,1,1,3,##ag work place aver,good
amaz compani work,AJ-Bell,5,5,5,5,4,5,4,##z comp work ##ani ama,good
mix bag,AJ-Bell,3,4,2,4,2,2,3,bag mix,good
good,AJ-Bell,1,1,1,1,1,1,3,good,good
progress,AJ-Bell,2,2,3,2,2,2,4,progress,good
well paid good environ,ALDI,5,4,4,5,4,3,4,paid environ good well,good
good pay hard work,ALDI,3,4,5,5,4,4,3,pay work hard good,good
famili,ALDI,5,5,5,5,5,5,4,famili,good
bad thought,ALDI,5,5,5,5,5,5,0,thought bad,bad
great peopl bad environ,ALDI,1,3,5,3,2,1,0,pe environ ##op bad ##l,bad
good overal,ALDI,4,3,4,4,4,4,3,over ##al good,good
,ALDI,1,1,1,1,1,1,3,,good
great job,ALDI,3,5,5,5,5,5,4,job great,good
good place work,ALDI,3,4,3,3,2,4,3,place work good,good
aldi,ALDI,1,2,2,2,2,2,4,##di al,good
great tire,ALDI,3,3,3,2,2,3,4,tire great,good
role well paid,ALDI,5,5,5,5,5,5,4,well paid role,good
deputi manag run store,ALDI,1,1,1,1,1,1,4,##g store run ##put ##i,good
well paid work hard,ALDI,3,3,2,1,5,2,4,paid work hard well,good
good place,ALDI,1,2,2,3,3,2,3,place good,good
good money number,ALDI,3,4,5,4,4,4,3,money number good,good
good pay,ALDI,1,4,5,4,4,3,3,pay good,good
great start expect much,ALDI,1,3,5,2,2,1,4,much ex ##pect start great,good
physic fast pace time goe fast,ALDI,2,2,3,3,3,1,3,pace fast go ##ic fast,good
hour,ALDI,5,5,5,5,5,5,4,hour,good
good compani great benefit,ALDI,3,4,4,3,5,4,4,comp great benefit ##ani good,good
good pay,ALDI,1,3,3,4,4,3,3,pay good,good
good,ALDI,2,3,3,4,5,4,3,good,good
everyday differ also familiar routin,ALDI,3,4,5,4,4,4,3,familiar ro differ ##n also,good
poor progress,ALDI,1,2,2,1,2,1,0,progress poor,bad
good comani,ALDI,4,4,3,4,2,4,3,coma ##ni good,good
aldi,ALDI,4,4,5,4,4,4,4,##di al,good
great pay hard work,ALDI,1,3,3,4,3,4,4,work pay hard great,good
intens reward,ALDI,3,4,4,4,5,4,4,##ns reward inte,good
challeng reward,ALDI,1,2,1,3,3,1,4,##llen reward ##g cha,good
amaz,ALDI,5,5,5,5,5,5,4,##z ama,good
great place work,ALDI,4,5,5,5,5,5,4,place work great,good
aldi shelf stacker,ALDI,3,4,3,4,3,3,3,##di she ##lf stack ##er,good
pay well everyth els bad,ALDI,1,3,3,1,3,1,4,well ##th els every bad,good
good money,ALDI,2,4,5,5,4,3,3,money good,good
terribl workplac dirti disorganis,ALDI,3,1,1,1,2,1,0,##rib ##l dis work ##org,bad
work,ALDI,1,1,1,1,1,1,3,work,good
great place work,ALDI,5,5,5,5,5,5,4,place work great,good
good place work,ALDI,3,4,3,4,5,4,3,place work good,good
sound,ALDI,1,5,5,1,5,5,3,sound,good
enough care staff poor work life balanc,ALDI,1,1,5,2,4,2,1,work care poor ##nc bala,bad
great team,ALDI,5,4,4,2,3,3,4,team great,good
work life balanc,ALDI,1,3,2,2,5,1,3,life ##nc bala work,good
aldi custom assist,ALDI,3,4,5,4,4,3,4,assist ##di custom al,good
great,ALDI,2,4,3,4,3,3,4,great,good
aldi review,ALDI,5,5,5,5,5,5,3,##di review al,good
best employe,ALDI,5,5,5,5,5,5,4,employe best,good
aldi,ALDI,1,3,2,3,1,3,4,##di al,good
great place work,ALDI,3,5,5,5,5,5,4,place work great,good
physic hard work,ALDI,5,4,5,4,3,5,1,work hard ##ic phys,bad
hard work,ALDI,3,1,2,3,3,4,1,work hard,bad
hard work pay well,ALDI,3,4,3,4,3,4,4,work well pay hard,good
aldi,ALDI,3,4,4,2,4,4,4,##di al,good
nice,ALDI,2,3,3,2,2,2,3,nice,good
stress,ALDI,2,3,3,3,3,2,0,stress,bad
